source_id,source_dataset,source_queue,source_type,source_priority,subject_es,body_es,texto,expected_area,expected_intent,expected_urgency,expected_human,expected_ambiguous,expected_contradictory,expected_security_legal,expected_refund,expected_actionability,expected_technical_repro,curation_note,evaluation_split,expected_route
v7-row-001,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,high,Error 403 al guardar el alta de inventario,En el módulo de altas de inventario completo los campos y pulso guardar; aparece el mensaje Error 403 permiso denegado y no se registra el alta 882. Sin ese registro no puedo cerrar las altas del turno de hoy.,"Error 403 al guardar el alta de inventario
En el módulo de altas de inventario completo los campos y pulso guardar; aparece el mensaje Error 403 permiso denegado y no se registra el alta 882. Sin ese registro no puedo cerrar las altas del turno de hoy.",tecnologia,incidencia,high,False,False,False,False,False,standard_action,True,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola tecnologia.,confirmation,review
v7-row-002,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,critical,Consola de almacén inactiva para todo el turno,"Ningún operador del turno logra abrir la consola de almacén: al elegir el depósito y pulsar entrar, la pantalla queda en espera y el servicio no responde. El despacho de la mañana está detenido.","Consola de almacén inactiva para todo el turno
Ningún operador del turno logra abrir la consola de almacén: al elegir el depósito y pulsar entrar, la pantalla queda en espera y el servicio no responde. El despacho de la mañana está detenido.",tecnologia,incidencia,critical,False,False,False,False,False,immediate_action,True,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola tecnologia.,confirmation,review
v7-row-003,catalog-judge/ticket-rubric-v2,tecnologia,consulta,low,Cómo exportar el historial de lecturas del medidor,Necesito el paso para exportar el historial de lecturas del medidor virtual a una hoja de cálculo. El medidor funciona; solo quiero el procedimiento.,"Cómo exportar el historial de lecturas del medidor
Necesito el paso para exportar el historial de lecturas del medidor virtual a una hoja de cálculo. El medidor funciona; solo quiero el procedimiento.",tecnologia,consulta,low,False,False,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola tecnologia.,confirmation,accept
v7-row-004,catalog-judge/ticket-rubric-v2,tecnologia,solicitud,medium,Activar la captura continua en la consola de ruta,Pido que activen el modo de captura continua en la consola de campo para la ruta 12 de esta semana. El módulo ya está instalado y no muestra errores.,"Activar la captura continua en la consola de ruta
Pido que activen el modo de captura continua en la consola de campo para la ruta 12 de esta semana. El módulo ya está instalado y no muestra errores.",tecnologia,solicitud,medium,False,False,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola tecnologia.,confirmation,accept
v7-row-005,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,medium,Fallo en la herramienta de turnos,"La herramienta de turnos no está bien y quiero que la revisen. No indico si es la de escritorio o la de tablet, ni qué pantalla falla.","Fallo en la herramienta de turnos
La herramienta de turnos no está bien y quiero que la revisen. No indico si es la de escritorio o la de tablet, ni qué pantalla falla.",tecnologia,incidencia,medium,True,True,False,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola tecnologia.,confirmation,review
v7-row-006,catalog-judge/ticket-rubric-v2,tecnologia,retroalimentacion,low,Atajo de teclado para el menú de reportes,Sería útil un atajo de teclado para abrir el menú de reportes sin pasar por tres clics. El sistema responde bien; es una mejora de uso.,"Atajo de teclado para el menú de reportes
Sería útil un atajo de teclado para abrir el menú de reportes sin pasar por tres clics. El sistema responde bien; es una mejora de uso.",tecnologia,retroalimentacion,low,False,False,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola tecnologia.,confirmation,accept
v7-row-007,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,medium,El lector de códigos a la vez sirve y no sirve,"En el mismo texto indico que el lector de códigos del pedido 3901 ya quedó operativo esta mañana, y también pido que lo reparen porque no lee ningún código desde ayer.","El lector de códigos a la vez sirve y no sirve
En el mismo texto indico que el lector de códigos del pedido 3901 ya quedó operativo esta mañana, y también pido que lo reparen porque no lee ningún código desde ayer.",tecnologia,incidencia,medium,True,False,True,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola tecnologia.,confirmation,review
v7-row-008,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,critical,Consola de campo caída en todas las rutas,"Abro la consola de campo, elijo cualquier ruta y pulso entrar; queda en cargando y muestra tiempo de espera agotado. El fallo se replica en todas las rutas y nadie puede registrar visitas.","Consola de campo caída en todas las rutas
Abro la consola de campo, elijo cualquier ruta y pulso entrar; queda en cargando y muestra tiempo de espera agotado. El fallo se replica en todas las rutas y nadie puede registrar visitas.",tecnologia,incidencia,critical,False,False,False,False,False,immediate_action,True,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola tecnologia.,confirmation,review
v7-row-009,catalog-judge/ticket-rubric-v2,logistica,reclamo,high,Pedido 4182 de resmas incompleto,Recibí el pedido 4182 de resmas y faltan dos cajas del total. Las necesito para completar el inventario de hoy; el resto llegó en buen estado.,"Pedido 4182 de resmas incompleto
Recibí el pedido 4182 de resmas y faltan dos cajas del total. Las necesito para completar el inventario de hoy; el resto llegó en buen estado.",logistica,reclamo,high,False,False,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola logistica.,confirmation,review
v7-row-010,catalog-judge/ticket-rubric-v2,logistica,consulta,low,Tiempo de llegada del envío 560,¿Cuánto tarda en llegar el envío 560 de papel continuo a la sede de Surco? Todavía no hay demora; quiero armar la recepción.,"Tiempo de llegada del envío 560
¿Cuánto tarda en llegar el envío 560 de papel continuo a la sede de Surco? Todavía no hay demora; quiero armar la recepción.",logistica,consulta,low,False,False,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola logistica.,confirmation,accept
v7-row-011,catalog-judge/ticket-rubric-v2,logistica,solicitud,medium,Mover la entrega del pedido 2290,Necesito pasar la entrega del pedido 2290 de sillas plegables al jueves de la próxima semana. La dirección de almacén se mantiene.,"Mover la entrega del pedido 2290
Necesito pasar la entrega del pedido 2290 de sillas plegables al jueves de la próxima semana. La dirección de almacén se mantiene.",logistica,solicitud,medium,False,False,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola logistica.,confirmation,accept
v7-row-012,catalog-judge/ticket-rubric-v2,logistica,reclamo,high,Pallet del evento no apareció en el muelle,El pallet de material para el evento de hoy no apareció en el muelle. El evento empieza al mediodía y no hay reemplazo en sitio.,"Pallet del evento no apareció en el muelle
El pallet de material para el evento de hoy no apareció en el muelle. El evento empieza al mediodía y no hay reemplazo en sitio.",logistica,reclamo,high,False,False,False,False,False,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola logistica.,confirmation,review
v7-row-013,catalog-judge/ticket-rubric-v2,logistica,reclamo,medium,Pedido 6418 entregado y a la vez en almacén,"El aviso dice que el pedido 6418 de carpetas ya se entregó en portería, y en el mismo texto pido que lo envíen porque aún no sale del almacén.","Pedido 6418 entregado y a la vez en almacén
El aviso dice que el pedido 6418 de carpetas ya se entregó en portería, y en el mismo texto pido que lo envíen porque aún no sale del almacén.",logistica,reclamo,medium,True,False,True,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola logistica.,confirmation,review
v7-row-014,catalog-judge/ticket-rubric-v2,logistica,retroalimentacion,low,Reparto urbano llegó en la ventana,El reparto urbano de esta semana llegó en la ventana anunciada. Solo dejo constancia; no pido ningún cambio.,"Reparto urbano llegó en la ventana
El reparto urbano de esta semana llegó en la ventana anunciada. Solo dejo constancia; no pido ningún cambio.",logistica,retroalimentacion,low,False,False,False,False,False,no_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola logistica.,confirmation,review
v7-row-015,catalog-judge/ticket-rubric-v2,logistica,consulta,medium,No recuerdo qué ítem pedí,"Quiero seguimiento de un envío de útiles, pero no sé si pedí el pack de carpetas o el de archivadores, ni cuál número de pedido es.","No recuerdo qué ítem pedí
Quiero seguimiento de un envío de útiles, pero no sé si pedí el pack de carpetas o el de archivadores, ni cuál número de pedido es.",logistica,consulta,medium,True,True,False,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola logistica.,confirmation,review
v7-row-016,catalog-judge/ticket-rubric-v2,ventas,consulta,low,Precio del pack de etiquetas térmicas,¿Cuál es el precio actual del pack de etiquetas térmicas de 80 milímetros para compra de mostrador? No hay pedido abierto.,"Precio del pack de etiquetas térmicas
¿Cuál es el precio actual del pack de etiquetas térmicas de 80 milímetros para compra de mostrador? No hay pedido abierto.",ventas,consulta,low,False,False,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola ventas.,confirmation,accept
v7-row-017,catalog-judge/ticket-rubric-v2,ventas,solicitud,low,Cotización de diez lámparas de escritorio,"Solicito una cotización por diez lámparas de escritorio modelo linterna LED, con entrega en almacén central. Sin plazo apretado.","Cotización de diez lámparas de escritorio
Solicito una cotización por diez lámparas de escritorio modelo linterna LED, con entrega en almacén central. Sin plazo apretado.",ventas,solicitud,low,False,False,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola ventas.,confirmation,accept
v7-row-018,catalog-judge/ticket-rubric-v2,ventas,reclamo,medium,Promoción 2x1 no aplicada en la compra 3371,"En la compra 3371 de cuadernos, la promoción 2x1 vigente no se aplicó en caja. Pido la devolución de la diferencia.","Promoción 2x1 no aplicada en la compra 3371
En la compra 3371 de cuadernos, la promoción 2x1 vigente no se aplicó en caja. Pido la devolución de la diferencia.",ventas,reclamo,medium,False,False,False,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola ventas.,confirmation,accept
v7-row-019,catalog-judge/ticket-rubric-v2,ventas,consulta,low,Vigencia de la oferta de carpetas archivadoras,¿Hasta qué fecha rige la oferta de temporada en carpetas archivadoras? Quiero saberlo antes de armar el pedido.,"Vigencia de la oferta de carpetas archivadoras
¿Hasta qué fecha rige la oferta de temporada en carpetas archivadoras? Quiero saberlo antes de armar el pedido.",ventas,consulta,low,False,False,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v7; cola ventas.,confirmation,accept
