source_id,source_dataset,source_queue,source_type,source_priority,subject_es,body_es,texto,expected_area,expected_intent,expected_urgency,expected_human,expected_security_legal,expected_refund,expected_actionability,expected_technical_repro,curation_note,evaluation_split,expected_route
v6-row-001,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,medium,Error al generar el reporte mensual,"Sigo estos pasos: abro el módulo de reportes, elijo el mes y pulso generar; aparece el mensaje Error 502 al procesar y se cierra la vista. Necesito el reporte para el cierre de la semana.","Error al generar el reporte mensual
Sigo estos pasos: abro el módulo de reportes, elijo el mes y pulso generar; aparece el mensaje Error 502 al procesar y se cierra la vista. Necesito el reporte para el cierre de la semana.",tecnologia,incidencia,medium,False,False,False,standard_action,True,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,accept
v6-row-002,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,high,La transferencia del lector queda a medias,"Cada vez que conecto el lector por el puerto lateral y transfiero el lote de la mañana, el programa muestra tiempo de espera agotado y la transferencia se corta. Hoy no pudimos cerrar el turno por este fallo.","La transferencia del lector queda a medias
Cada vez que conecto el lector por el puerto lateral y transfiero el lote de la mañana, el programa muestra tiempo de espera agotado y la transferencia se corta. Hoy no pudimos cerrar el turno por este fallo.",tecnologia,incidencia,high,False,False,False,standard_action,True,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,review
v6-row-003,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,low,Nombre cortado en el menú lateral,"Desde la última actualización, una entrada del menú lateral aparece con el nombre cortado. No impide trabajar, pero conviene corregirlo cuando haya oportunidad.","Nombre cortado en el menú lateral
Desde la última actualización, una entrada del menú lateral aparece con el nombre cortado. No impide trabajar, pero conviene corregirlo cuando haya oportunidad.",tecnologia,incidencia,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,accept
v6-row-004,catalog-judge/ticket-rubric-v2,tecnologia,consulta,low,Compatibilidad del lector con el equipo nuevo,"Quiero saber si el lector de la sede es compatible con el equipo que instalaron esta semana, antes de solicitar el cambio.","Compatibilidad del lector con el equipo nuevo
Quiero saber si el lector de la sede es compatible con el equipo que instalaron esta semana, antes de solicitar el cambio.",tecnologia,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,accept
v6-row-005,catalog-judge/ticket-rubric-v2,tecnologia,solicitud,low,Activación del módulo de inventario,"Solicito activar el módulo de inventario para el usuario del almacén, que ya cuenta con los permisos aprobados.","Activación del módulo de inventario
Solicito activar el módulo de inventario para el usuario del almacén, que ya cuenta con los permisos aprobados.",tecnologia,solicitud,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,accept
v6-row-006,catalog-judge/ticket-rubric-v2,tecnologia,reclamo,high,El cierre duplicó los movimientos del turno,El cierre de ayer registró dos veces los mismos movimientos y ahora el saldo no cuadra. Pido que lo corrijan hoy porque afecta el arqueo de caja.,"El cierre duplicó los movimientos del turno
El cierre de ayer registró dos veces los mismos movimientos y ahora el saldo no cuadra. Pido que lo corrijan hoy porque afecta el arqueo de caja.",tecnologia,reclamo,high,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,review
v6-row-007,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,critical,Sistema de turnos detenido en plena atención,"Desde las nueve, al validar cualquier ticket en la pantalla principal aparece servicio no disponible y la atención no avanza. La fila está detenida y necesitamos restablecerlo ya.","Sistema de turnos detenido en plena atención
Desde las nueve, al validar cualquier ticket en la pantalla principal aparece servicio no disponible y la atención no avanza. La fila está detenida y necesitamos restablecerlo ya.",tecnologia,incidencia,critical,False,False,False,immediate_action,True,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,review
v6-row-008,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,critical,Nadie logra ingresar al sistema,Todo el equipo intenta entrar desde temprano y la pantalla queda cargando sin dejar pasar. Necesitamos atención inmediata porque la operación está parada.,"Nadie logra ingresar al sistema
Todo el equipo intenta entrar desde temprano y la pantalla queda cargando sin dejar pasar. Necesitamos atención inmediata porque la operación está parada.",tecnologia,incidencia,critical,False,False,False,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,review
v6-row-009,catalog-judge/ticket-rubric-v2,tecnologia,consulta,low,Duda con una pantalla del sistema,Hay una pantalla que muestra algo distinto y no sé de qué trámite se trata. Quisiera que me orienten sobre qué significa.,"Duda con una pantalla del sistema
Hay una pantalla que muestra algo distinto y no sé de qué trámite se trata. Quisiera que me orienten sobre qué significa.",tecnologia,consulta,low,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,review
v6-row-010,catalog-judge/ticket-rubric-v2,tecnologia,reclamo,medium,Cifras distintas en el reporte del día,El reporte de la mañana trae cifras diferentes a las de la tarde para el mismo día. Un compañero indica usar el primero y otro indica usar el segundo. Pido que definan cuál valor es válido.,"Cifras distintas en el reporte del día
El reporte de la mañana trae cifras diferentes a las de la tarde para el mismo día. Un compañero indica usar el primero y otro indica usar el segundo. Pido que definan cuál valor es válido.",tecnologia,reclamo,medium,True,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,review
v6-row-011,catalog-judge/ticket-rubric-v2,tecnologia,solicitud,medium,Conexión con el programa del estudio contable,"Solicito conectar el sistema con el programa de planillas que usa el estudio contable externo, fuera del catálogo de integraciones. Pido que un especialista evalúe si la conexión es viable.","Conexión con el programa del estudio contable
Solicito conectar el sistema con el programa de planillas que usa el estudio contable externo, fuera del catálogo de integraciones. Pido que un especialista evalúe si la conexión es viable.",tecnologia,solicitud,medium,True,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola tecnologia.,confirmation,review
v6-row-012,catalog-judge/ticket-rubric-v2,logistica,reclamo,high,Equipo del pedido 7315 llegó dañado,"El bulto llegó golpeado y el equipo no enciende. Lo necesito para el trabajo de hoy, así que solicito el reemplazo del equipo dañado.","Equipo del pedido 7315 llegó dañado
El bulto llegó golpeado y el equipo no enciende. Lo necesito para el trabajo de hoy, así que solicito el reemplazo del equipo dañado.",logistica,reclamo,high,False,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,review
v6-row-013,catalog-judge/ticket-rubric-v2,logistica,incidencia,medium,Seguimiento detenido en tránsito,"El seguimiento del pedido 8420 sigue detenido en tránsito desde ayer, aunque ya debería estar en reparto. Pido que verifiquen el estado real del envío.","Seguimiento detenido en tránsito
El seguimiento del pedido 8420 sigue detenido en tránsito desde ayer, aunque ya debería estar en reparto. Pido que verifiquen el estado real del envío.",logistica,incidencia,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,accept
v6-row-014,catalog-judge/ticket-rubric-v2,logistica,consulta,low,Cobertura de reparto en el parque industrial,"Quiero saber si la zona del parque industrial tiene cobertura de reparto semanal, antes de programar el envío de los repuestos.","Cobertura de reparto en el parque industrial
Quiero saber si la zona del parque industrial tiene cobertura de reparto semanal, antes de programar el envío de los repuestos.",logistica,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,accept
v6-row-015,catalog-judge/ticket-rubric-v2,logistica,solicitud,low,Cambio de dirección del pedido 5173,"Solicito cambiar la dirección de entrega del pedido 5173 a la sede del almacén, antes de que salga a reparto.","Cambio de dirección del pedido 5173
Solicito cambiar la dirección de entrega del pedido 5173 a la sede del almacén, antes de que salga a reparto.",logistica,solicitud,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v6; cola logistica.,confirmation,accept
