source_id,source_dataset,source_queue,source_type,source_priority,subject_es,body_es,texto,expected_area,expected_intent,expected_urgency,expected_human,expected_security_legal,expected_refund,expected_actionability,expected_technical_repro,expected_route,curation_note,evaluation_split
hf-row-001753,Tobi-Bueck/customer-support-tickets,Billing and Payments,Problem,medium,Cobro duplicado en una factura,La factura muestra dos cargos idénticos y solicito la devolución del cobro repetido antes de continuar.,"Cobro duplicado en una factura
La factura muestra dos cargos idénticos y solicito la devolución del cobro repetido antes de continuar.",pagos,reclamo,high,False,False,True,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-010635,Tobi-Bueck/customer-support-tickets,Customer Service,Request,low,Información sobre el proceso de atención,Quiero entender cómo se sigue una solicitud después de presentarla.,"Información sobre el proceso de atención
Quiero entender cómo se sigue una solicitud después de presentarla.",atencion_cliente,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-011564,Tobi-Bueck/customer-support-tickets,General Inquiry,Request,low,Consulta sobre una opción de análisis,Necesito información sobre una opción de análisis sin solicitar un cambio.,"Consulta sobre una opción de análisis
Necesito información sobre una opción de análisis sin solicitar un cambio.",otro,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-015427,Tobi-Bueck/customer-support-tickets,Human Resources,Incident,low,Consulta sobre documentación de incorporación,¿Qué documentación necesito para consultar una etapa de incorporación?,"Consulta sobre documentación de incorporación
¿Qué documentación necesito para consultar una etapa de incorporación?",rrhh,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-007059,Tobi-Bueck/customer-support-tickets,IT Support,Incident,high,No puedo acceder al sistema,El acceso al sistema falla y necesito restablecer la disponibilidad para trabajar.,"No puedo acceder al sistema
El acceso al sistema falla y necesito restablecer la disponibilidad para trabajar.",tecnologia,incidencia,high,False,False,False,standard_action,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-019949,Tobi-Bueck/customer-support-tickets,Product Support,Incident,medium,Una función no responde,Una función del producto no responde después de completar los pasos indicados.,"Una función no responde
Una función del producto no responde después de completar los pasos indicados.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-018816,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Incident,medium,Solicito devolución de un pedido,Pido la devolución de un pedido y la devolución del importe correspondiente.,"Solicito devolución de un pedido
Pido la devolución de un pedido y la devolución del importe correspondiente.",logistica,solicitud,medium,False,False,True,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-008151,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Incident,high,Solicito una cotización actualizada,Pido una cotización actualizada antes de confirmar una compra.,"Solicito una cotización actualizada
Pido una cotización actualizada antes de confirmar una compra.",ventas,solicitud,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-009082,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Incident,medium,Interrupción general del servicio,El servicio se interrumpió para varios usuarios y necesito una resolución hoy.,"Interrupción general del servicio
El servicio se interrumpió para varios usuarios y necesito una resolución hoy.",tecnologia,incidencia,high,True,False,False,immediate_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-008694,Tobi-Bueck/customer-support-tickets,Technical Support,Incident,medium,Integración devuelve un error,Una integración devuelve un error después de completar la acción.,"Integración devuelve un error
Una integración devuelve un error después de completar la acción.",tecnologia,incidencia,high,False,False,False,immediate_action,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-012247,Tobi-Bueck/customer-support-tickets,Billing and Payments,Incident,medium,Consulta sobre el desglose de una factura,No entiendo un concepto del comprobante y necesito una explicación de sus partes.,"Consulta sobre el desglose de una factura
No entiendo un concepto del comprobante y necesito una explicación de sus partes.",pagos,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-008234,Tobi-Bueck/customer-support-tickets,Customer Service,Incident,medium,Seguimiento de una solicitud,Solicito una actualización sobre una solicitud que ya fue registrada.,"Seguimiento de una solicitud
Solicito una actualización sobre una solicitud que ya fue registrada.",atencion_cliente,solicitud,medium,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-003225,Tobi-Bueck/customer-support-tickets,General Inquiry,Change,low,Solicitud de información sobre documentación,Pido orientación sobre qué documentación explica el siguiente paso.,"Solicitud de información sobre documentación
Pido orientación sobre qué documentación explica el siguiente paso.",otro,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-011332,Tobi-Bueck/customer-support-tickets,Human Resources,Request,medium,Proceso de contratación,Tengo una consulta sobre el proceso de contratación y necesito confirmar el siguiente paso.,"Proceso de contratación
Tengo una consulta sobre el proceso de contratación y necesito confirmar el siguiente paso.",rrhh,solicitud,medium,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-001666,Tobi-Bueck/customer-support-tickets,IT Support,Problem,high,Error reproducible al iniciar sesión,Al iniciar sesión aparece un error después de introducir los campos del formulario.,"Error reproducible al iniciar sesión
Al iniciar sesión aparece un error después de introducir los campos del formulario.",tecnologia,incidencia,high,False,False,False,standard_action,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-019360,Tobi-Bueck/customer-support-tickets,Product Support,Incident,low,Compatibilidad de una integración,Pregunto si una integración es compatible antes de configurar el flujo.,"Compatibilidad de una integración
Pregunto si una integración es compatible antes de configurar el flujo.",tecnologia,consulta,medium,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-001867,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Change,medium,Producto llegó dañado,El producto llegó dañado y solicito una revisión antes de aceptar el reemplazo.,"Producto llegó dañado
El producto llegó dañado y solicito una revisión antes de aceptar el reemplazo.",logistica,reclamo,high,True,False,True,immediate_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-013639,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Request,high,Consulta sobre el precio de una promoción,¿Cuál es el precio vigente de una promoción?,"Consulta sobre el precio de una promoción
¿Cuál es el precio vigente de una promoción?",ventas,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-007519,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Incident,high,Mantenimiento programado,Recibí un aviso de mantenimiento y quiero confirmar el horario de la actualización.,"Mantenimiento programado
Recibí un aviso de mantenimiento y quiero confirmar el horario de la actualización.",atencion_cliente,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-006566,Tobi-Bueck/customer-support-tickets,Technical Support,Incident,low,Pasos para reproducir un fallo,Comparto los pasos que reproducen un fallo de la aplicación.,"Pasos para reproducir un fallo
Comparto los pasos que reproducen un fallo de la aplicación.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-009192,Tobi-Bueck/customer-support-tickets,Billing and Payments,Request,low,Reembolso pendiente después de una devolución,"La devolución fue aceptada, pero el estado del reembolso no cambia después de varios intentos.","Reembolso pendiente después de una devolución
La devolución fue aceptada, pero el estado del reembolso no cambia después de varios intentos.",pagos,solicitud,high,True,False,True,immediate_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-010948,Tobi-Bueck/customer-support-tickets,Customer Service,Request,medium,La respuesta recibida no coincide,La respuesta no coincide con lo que solicité y necesito una revisión del caso.,"La respuesta recibida no coincide
La respuesta no coincide con lo que solicité y necesito una revisión del caso.",atencion_cliente,reclamo,medium,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-002092,Tobi-Bueck/customer-support-tickets,General Inquiry,Request,medium,Pregunta sobre un proceso general,La descripción de un proceso general no indica con claridad qué área debe recibirla.,"Pregunta sobre un proceso general
La descripción de un proceso general no indica con claridad qué área debe recibirla.",otro,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-002758,Tobi-Bueck/customer-support-tickets,Human Resources,Incident,medium,Solicitud de información sobre políticas,Pido información sobre una política de personas antes de continuar con una gestión.,"Solicitud de información sobre políticas
Pido información sobre una política de personas antes de continuar con una gestión.",rrhh,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
hf-row-005075,Tobi-Bueck/customer-support-tickets,IT Support,Change,high,Solicito restablecer un permiso,Pido revisar y restablecer un permiso de un entorno de demostración.,"Solicito restablecer un permiso
Pido revisar y restablecer un permiso de un entorno de demostración.",seguridad,solicitud,medium,True,True,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,dev
