series_id,store_nbr,family,avg_sales,sales_cv,active_day_share,promo_share,recent_vs_previous_ratio,rows_used,feature_window_start,feature_window_end,evaluation_split,demand_drop_alert,replenishment_candidate,policy_handling_risk,policy_exception_needed,expected_series_decision,expected_handling_risk,expected_exception_needed,expected_route,source_dataset,feature_version
store_24__AUTOMOTIVE,24,AUTOMOTIVE,3.291568,1.042418,0.856888,0.005344,0.736842,1684,2017-06-21,2017-08-15,dev,True,False,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_01__AUTOMOTIVE,1,AUTOMOTIVE,3.251188,0.848547,0.868765,0.008314,1.119048,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_12__BEAUTY,12,BEAUTY,0.966746,1.220937,0.564727,0.071259,0.651163,1684,2017-06-21,2017-08-15,dev,True,False,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_02__BEAUTY,2,BEAUTY,4.712589,0.837387,0.954869,0.153207,1.329268,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_10__BEVERAGES,10,BEVERAGES,895.095606,0.464494,0.997031,0.500594,1.14754,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_19__BREAD/BAKERY,19,BREAD/BAKERY,180.006532,0.305082,0.997031,0.327197,1.117453,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_06__BREAD/BAKERY,6,BREAD/BAKERY,545.785486,0.30506,0.997031,0.514252,0.911923,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_37__CELEBRATION,37,CELEBRATION,7.586105,1.113641,0.601544,0.038005,0.662338,1684,2017-06-21,2017-08-15,holdout,True,False,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_03__CELEBRATION,3,CELEBRATION,28.770784,1.397053,0.603325,0.064727,1.155718,1684,2017-06-21,2017-08-15,dev,False,True,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_30__CLEANING,30,CLEANING,480.312945,0.739454,0.983373,0.443587,0.479131,1684,2017-06-21,2017-08-15,dev,True,False,False,True,review,False,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_10__CLEANING,10,CLEANING,777.808789,0.42444,0.997031,0.495843,1.358245,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_01__CLEANING,1,CLEANING,640.454276,0.340424,0.996437,0.574228,0.91085,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_25__DAIRY,25,DAIRY,468.390736,0.6692,0.960808,0.496437,1.284918,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_01__DAIRY,1,DAIRY,626.10095,0.337156,0.996437,0.565321,0.902984,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_25__DELI,25,DELI,125.80037,0.628231,0.960808,0.389549,1.31257,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_03__DELI,3,DELI,394.697165,0.297624,0.997031,0.500594,0.897541,1684,2017-06-21,2017-08-15,dev,False,False,True,False,review,True,False,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_33__AUTOMOTIVE,33,AUTOMOTIVE,7.69715,0.626095,0.983373,0.02791,0.704698,1684,2017-06-21,2017-08-15,holdout,True,False,False,True,review,False,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_02__AUTOMOTIVE,2,AUTOMOTIVE,5.4038,0.642782,0.962589,0.00772,1.326923,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_14__BEAUTY,14,BEAUTY,1.269002,1.232452,0.574822,0.062945,0.7,1684,2017-06-21,2017-08-15,dev,True,False,True,True,review,True,True,review,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
store_03__BEAUTY,3,BEAUTY,9.61342,0.669301,0.991686,0.207838,1.130208,1684,2017-06-21,2017-08-15,dev,False,True,False,False,include,False,False,accept,t4tiana/store-sales-time-series-forecasting,favorita-demand-features-v2
